,Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
14253,AAPL,111052,2019-04-01,47.91,47.92,47.09,47.81,45.81,111447856,0.0,18429136000
14254,AAPL,111052,2019-04-02,47.77,48.62,47.76,48.51,46.47,91062928,0.0,18429136000
14255,AAPL,111052,2019-04-03,48.31,49.12,48.29,48.84,46.79,93087320,0.0,18429136000
14256,AAPL,111052,2019-04-04,48.7,49.09,48.28,48.92,46.87,76457100,0.0,18429136000
14257,AAPL,111052,2019-04-05,49.11,49.27,48.98,49.25,47.19,74106576,0.0,18429136000
14258,AAPL,111052,2019-04-08,49.1,50.06,49.09,50.02,47.93,103526788,0.0,18429136000
14259,AAPL,111052,2019-04-09,50.08,50.71,49.81,49.88,47.79,143072948,0.0,18429136000
14260,AAPL,111052,2019-04-10,49.67,50.19,49.55,50.16,48.06,86781152,0.0,18429136000
14261,AAPL,111052,2019-04-11,50.21,50.25,49.61,49.74,47.66,83603232,0.0,18429136000
14262,AAPL,111052,2019-04-12,49.8,50.03,49.05,49.72,47.64,111042672,0.0,18429136000
14263,AAPL,111052,2019-04-15,49.65,49.96,49.5,49.81,47.72,70146584,0.0,18429136000
14264,AAPL,111052,2019-04-16,49.87,50.34,49.64,49.81,47.73,102785540,0.0,18429136000
14265,AAPL,111052,2019-04-17,49.88,50.84,49.65,50.78,48.66,115627120,0.0,18429136000
14266,AAPL,111052,2019-04-18,50.78,51.04,50.63,50.97,48.83,96783064,0.0,18429136000
14267,AAPL,111052,2019-04-22,50.71,51.23,50.59,51.13,48.99,77758180,0.0,18404300000
14268,AAPL,111052,2019-04-23,51.11,51.94,50.98,51.87,49.7,93291964,0.0,18404300000
14269,AAPL,111052,2019-04-24,51.84,52.12,51.76,51.79,49.62,70162436,0.0,18404300000
14270,AAPL,111052,2019-04-25,51.71,51.94,51.28,51.32,49.17,74172824,0.0,18404300000
14271,AAPL,111052,2019-04-26,51.23,51.25,50.53,51.08,48.94,74596408,0.0,18404300000
14272,AAPL,111052,2019-04-29,51.1,51.49,50.97,51.15,49.01,88818864,0.0,18404300000
14273,AAPL,111052,2019-04-30,50.77,50.85,49.78,50.17,48.07,186139692,0.0,18404300000
14274,AAPL,111052,2019-05-01,52.47,53.83,52.31,52.63,50.43,259309312,0.0,18404300000
14275,AAPL,111052,2019-05-02,52.46,53.16,52.03,52.29,50.1,127985296,0.0,18404300000
14276,AAPL,111052,2019-05-03,52.72,52.96,52.56,52.94,50.72,83569512,0.0,18404300000
14277,AAPL,111052,2019-05-06,51.07,52.21,50.88,52.12,49.94,129772452,0.0,18404300000
14278,AAPL,111052,2019-05-07,51.47,51.85,50.21,50.72,48.59,155054792,0.0,18404300000
14279,AAPL,111052,2019-05-08,50.48,51.34,50.44,50.73,48.6,105358016,0.0,18404300000
14280,AAPL,111052,2019-05-09,50.1,50.42,49.16,50.18,48.08,139634428,0.0,18404300000
14281,AAPL,111052,2019-05-10,49.35,49.71,48.19,49.3,47.42,164834848,0.19,18404300000
14282,AAPL,111052,2019-05-13,46.93,47.37,45.71,46.43,44.66,229722492,0.0,18404300000
14283,AAPL,111052,2019-05-14,46.6,47.42,46.35,47.16,45.37,146118708,0.0,18404300000
14284,AAPL,111052,2019-05-15,46.57,47.94,46.51,47.73,45.91,106178872,0.0,18404300000
14285,AAPL,111052,2019-05-16,47.48,48.12,47.21,47.52,45.71,132125456,0.0,18404300000
14286,AAPL,111052,2019-05-17,46.73,47.73,46.69,47.25,45.45,131516360,0.0,18404300000
14287,AAPL,111052,2019-05-20,45.88,46.09,45.07,45.77,44.03,154449160,0.0,18404300000
14288,AAPL,111052,2019-05-21,46.3,47.0,46.17,46.65,44.87,113459392,0.0,18404300000
